,Class,Type,Group,Food,Allergy
115,Plant origin,Vegetable,Legumes vegetable,peas,legume allergy
116,Plant origin,Cereal grain and pulse,Pulse,peas,legume allergy
117,Plant origin,Nut and seed,Oil seed,pecan,nut allergy
118,Plant origin,Cereal grain and pulse,Pulse,pegia,legume allergy
119,Plant origin,Spice and herb,Herb,peppermint,mint allergy
120,Animal origin,Aquatic animal,Fish,percifomes,fish allergy
121,Animal origin,Terrestrial mammal,Offal,pig,alpha-gal syndrome
122,Plant origin,Fruit,Tropical fruit,pineapple,oral allergy syndrome
123,Plant origin,Cereal grain and pulse,Cereal grain,popcorn,corn allergy
124,Plant origin,Vegetable,Potato,potato,potato allergy
125,Plant origin,Fruit,Stone fruit,prune,stone fruit allergy
126,Plant origin,Vegetable,Cucurbitaceous vegetable,pumpkin,
127,Plant origin,Vegetable,Cruciferous vegetable,qing-geng-cai,cruciferous allergy
128,Plant origin,Fruit,Pome fruit,quince,oral allergy syndrome
129,Plant origin,Vegetable,Cruciferous vegetable,radish leaf,
130,Plant origin,Vegetable,Cruciferous vegetable,radish root,hypersensitivity
131,Plant origin,Nut and seed,Oil seed,rapeseed,seed allergy
132,Plant origin,Fruit,Berry,raspberry,salicylate allergy
133,Plant origin,Cereal grain and pulse,Cereal grain,rice,rice allergy
134,Plant origin,Oil,Oil,ricebran oil,
135,Animal origin,Bee product,Bee product,royal jelly,honey allergy
136,Plant origin,Cereal grain and pulse,Cereal grain,rye,gluten allergy
137,Plant origin,Nut and seed,Oil seed,safflower seed,seed allergy
138,Animal origin,Aquatic animal,Fish,salmon,fish allergy
139,Plant origin,Vegetable,Composite vegetable,salsify,insulin allergy
140,Plant origin,Spice and herb,Spice,sansho,pepper allergy
141,Animal origin,Aquatic animal,Fish,sea bass,fish allergy
142,Animal origin,Aquatic animal,Fish,sea bream,fish allergy
143,Plant origin,Nut and seed,Oil seed,sesame seed,seed allergy
144,Plant origin,Vegetable,Liliaceous vegetable,shallot,allium allergy
145,Animal origin,Terrestrial mammal,Offal,sheep,alpha-gal syndrome
146,Animal origin,Aquatic animal,Shellfish,shelled mollusc,fish allergy
147,Plant origin,Vegetable,Mushroom,shiitake  mushroom,mushroom allergy
148,Plant origin,Vegetable,Composite vegetable,shungiku,insulin allergy
149,Animal origin,Dairy,Dairy,sour cream,milk allergy / lactose intolerance
150,Plant origin,Cereal grain and pulse,Pulse,soybean,soy allergy
151,Plant origin,Spice and herb,Herb,spearmint,mint allergy
152,Plant origin,Vegetable,Miscellaneous vegetable,spinach,histamine allergy
153,Plant origin,Vegetable,Cucurbitaceous vegetable,squash,
154,Plant origin,Fruit,Berry,strawberry,salicylate allergy
155,Plant origin,Vegetable,Sugar source,sugar,sugar allergy / intolerance
156,Plant origin,Vegetable,Sugar source,sugar beet,sugar allergy / intolerance
157,Plant origin,Vegetable,Sugar source,sugarcane,sugar allergy / intolerance
158,Plant origin,Cereal grain and pulse,Pulse,sultani,legume allergy
159,Plant origin,Cereal grain and pulse,Pulse,sultapya,legume allergy
160,Plant origin,Oil,Oil,sunflower oil,
161,Plant origin,Nut and seed,Oil seed,sunflower seed,seed allergy
162,Plant origin,Cereal grain and pulse,Cereal grain,sweet corn,corn allergy
163,Plant origin,Vegetable,Solanceous vegetable,sweet pepper,nightshade allergy
164,Plant origin,Vegetable,Potato,sweet potato,potato allergy
165,Plant origin,Vegetable,Potato,taro,potato allergy
166,Plant origin,Tea,Tea,tea,tannin allergy
167,Animal origin,Aquatic animal,Fish,tetraodontiformes,fish allergy
168,Plant origin,Vegetable,Solanceous vegetable,tomato,nightshade allergy
169,Animal origin,Aquatic animal,Fish,trout,fish allergy
170,Animal origin,Aquatic animal,Fish,tuna,fish allergy
171,Animal origin,Poultry,Offal,turkey,poultry allergy
172,Plant origin,Vegetable,Cruciferous vegetable,turnip leaf,
173,Plant origin,Vegetable,Cruciferous vegetable,turnip root,thyroid
174,Plant origin,Oil,Oil,vegetable oil,
175,Plant origin,Nut and seed,Oil seed,walnut,nut allergy
176,Plant origin,Vegetable,Cucurbitaceous vegetable,water melon,
177,Plant origin,Vegetable,Cruciferous vegetable,watercress,
178,Plant origin,Vegetable,Liliaceous vegetable,welsh,allium allergy
179,Plant origin,Cereal grain and pulse,Cereal grain,wheat,gluten allergy
180,Animal origin,Dairy,Dairy,whey,milk allergy / lactose intolerance
181,Plant origin,Cereal grain and pulse,Pulse,white bean,legume allergy
182,Plant origin,Vegetable,Potato,yam,potato allergy
183,Animal origin,Dairy,Dairy,yogurt ,milk allergy / lactose intolerance
